Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"Johns, Gord",Courtenay—Alberni,New Democratic Party,69699.63,4937.37,0.0,38205.08,2021,2
"Joly, Hon. Mélanie",Ahuntsic-Cartierville,Liberal,71776.32,5795.83,100.75,22875.37,2021,2
"Jones, Yvonne",Labrador,Liberal,72965.24,13372.34,952.47,23334.79,2021,2
"Jordan, Hon. Bernadette",South Shore—St. Margarets,Liberal,64720.6,6361.68,0.0,11446.4,2021,2
"Jowhari, Majid",Richmond Hill,Liberal,65658.05,5220.0,56.35,26750.15,2021,2
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,74249.52,7999.4,36.23,20968.82,2021,2
"Kelloway, Mike",Cape Breton—Canso,Liberal,78695.59,3733.22,190.68,17369.37,2021,2
"Kelly, Pat",Calgary Rocky Ridge,Conservative,71595.43,11178.38,42.32,15141.03,2021,2
"Kent, Hon. Peter",Thornhill,Conservative,90820.92,3990.43,0.0,27075.15,2021,2
"Khalid, Iqra",Mississauga—Erin Mills,Liberal,74151.14,7317.5,0.0,53621.47,2021,2
"Khera, Kamal",Brampton West,Liberal,48959.94,6574.37,0.0,16062.49,2021,2
"Kitchen, Robert",Souris—Moose Mountain,Conservative,58923.55,16503.16,0.0,29912.41,2021,2
"Kmiec, Tom",Calgary Shepard,Conservative,57946.22,14623.57,1135.57,18913.96,2021,2
"Koutrakis, Annie",Vimy,Liberal,70796.47,8172.08,0.0,45827.75,2021,2
"Kram, Michael",Regina—Wascana,Conservative,36831.97,12483.53,0.0,35023.52,2021,2
"Kurek, Damien",Battle River—Crowfoot,Conservative,69011.85,27248.38,885.33,27535.01,2021,2
"Kusie, Stephanie",Calgary Midnapore,Conservative,84107.41,12478.45,1647.87,18562.63,2021,2
"Kusmierczyk, Irek",Windsor—Tecumseh,Liberal,68841.63,7801.3,276.05,11032.54,2021,2
"Kwan, Jenny",Vancouver East,New Democratic Party,74822.48,12689.63,57.72,42560.2,2021,2
"Lake, Hon. Mike",Edmonton—Wetaskiwin,Conservative,110553.17,5458.22,0.0,15226.71,2021,2
"Lalonde, Marie-France",Orléans,Liberal,68336.23,0.0,334.21,17747.09,2021,2
"Lambropoulos, Emmanuella",Saint-Laurent,Liberal,70809.18,7079.88,460.53,17573.29,2021,2
"Lametti, Hon. David",LaSalle—Émard—Verdun,Liberal,74841.6,9633.69,0.0,17089.88,2021,2
"Lamoureux, Kevin",Winnipeg North,Liberal,68010.87,11377.93,31.09,29034.25,2021,2
"Larouche, Andréanne",Shefford,Bloc Québécois,60233.01,2062.28,0.0,41247.71,2021,2
"Lattanzio, Patricia",Saint-Léonard—Saint-Michel,Liberal,31296.11,1078.14,0.0,27185.31,2021,2
"Lauzon, Stéphane",Argenteuil—La Petite-Nation,Liberal,70182.19,0.0,0.0,14242.74,2021,2
"Lawrence, Philip",Northumberland—Peterborough South,Conservative,83687.12,9804.37,0.0,25684.17,2021,2
"LeBlanc, Hon. Dominic",Beauséjour,Liberal,86618.63,3466.61,2099.37,13385.78,2021,2
"Lebouthillier, Hon. Diane",Gaspésie—Les Îles-de-la-Madeleine,Liberal,63608.73,21140.6,0.0,21742.11,2021,2
"Lefebvre, Paul",Sudbury,Liberal,73827.14,4791.11,0.0,37947.5,2021,2
"Lehoux, Richard",Beauce,Conservative,62224.03,7915.65,1272.55,20716.09,2021,2
"Lemire, Sébastien",Abitibi—Témiscamingue,Bloc Québécois,63515.55,7864.02,1193.44,13175.23,2021,2
"Levitt, Michael",York Centre,Liberal,65196.12,978.11,302.3,27347.2,2021,2
"Lewis, Chris",Essex,Conservative,82553.52,9435.26,98.97,33656.41,2021,2
"Liepert, Ron",Calgary Signal Hill,Conservative,67099.04,9986.71,96.04,47325.13,2021,2
"Lightbound, Joël",Louis-Hébert,Liberal,82417.51,5026.57,0.0,16156.64,2021,2
"Lloyd, Dane",Sturgeon River—Parkland,Conservative,88570.49,15491.92,0.0,29004.29,2021,2
"Lobb, Ben",Huron—Bruce,Conservative,71105.44,12097.39,0.0,21227.36,2021,2
"Long, Wayne",Saint John—Rothesay,Liberal,51939.63,0.0,516.57,22040.0,2021,2
"Longfield, Lloyd",Guelph,Liberal,74383.12,0.0,0.0,28638.03,2021,2
"Louis, Tim",Kitchener—Conestoga,Liberal,56302.6,4764.28,594.0,35781.72,2021,2
"Lukiwski, Tom",Moose Jaw—Lake Centre—Lanigan,Conservative,66418.36,16893.38,0.0,25485.95,2021,2
"MacAulay, Hon. Lawrence",Cardigan,Liberal,53040.77,9492.43,0.0,33622.73,2021,2
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,72692.05,19573.69,0.0,15326.73,2021,2
"MacKenzie, Dave",Oxford,Conservative,79304.85,626.42,0.0,23456.41,2021,2
"MacKinnon, Steven",Gatineau,Liberal,48968.92,236.47,536.07,20503.86,2021,2
"Maguire, Larry",Brandon—Souris,Conservative,81781.91,9073.66,244.35,13673.85,2021,2
"Maloney, James",Etobicoke—Lakeshore,Liberal,63438.45,0.0,0.0,29366.94,2021,2
"Manly, Paul",Nanaimo—Ladysmith,Green Party,71051.41,9185.14,75.44,23287.49,2021,2
"Marcil, Simon",Mirabel,Bloc Québécois,62239.24,5919.1,0.0,32947.66,2021,2
"Martel, Richard",Chicoutimi—Le Fjord,Conservative,65154.3,9248.78,1020.31,24606.06,2021,2
"Martinez Ferrada, Soraya",Hochelaga,Liberal,70962.91,6589.16,550.66,34337.29,2021,2
"Masse, Brian",Windsor West,New Democratic Party,85798.02,11462.52,301.19,13189.59,2021,2
"Mathyssen, Lindsay",London—Fanshawe,New Democratic Party,83630.06,7413.68,86.9,21111.45,2021,2
"May, Bryan",Cambridge,Liberal,63896.69,0.0,64.7,20273.74,2021,2
"May, Elizabeth",Saanich—Gulf Islands,Green Party,93288.5,5031.92,0.0,11739.41,2021,2
"Mazier, Dan",Dauphin—Swan River—Neepawa,Conservative,75557.48,24111.98,231.06,21190.77,2021,2
"McCauley, Kelly",Edmonton West,Conservative,62633.2,20837.25,170.9,22540.13,2021,2
"McColeman, Phil",Brantford—Brant,Conservative,80496.85,5606.89,31.97,15473.04,2021,2
"McCrimmon, Karen",Kanata—Carleton,Liberal,72140.93,0.0,0.0,17221.91,2021,2
